Jessica Flayer,"Psychotherapy, LPC","Jessica Flayer offers a client-centered, integrative approach to meet each client’s unique needs. She provides a safe place where clients feel heard while assisting them in identifying their strengths to improve their relationships with themselves and others. She specializes in working with those experiencing anxiety, depression, and trauma or adjusting to life changes.","General mental health, Depression, Life transitions, General relationship challenges (family, friends, co-workers), Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, See your cost estimate",No data,$140-200,$140,$200,Arizona
Bret Dorsett,"Psychotherapy, LCMHC","Bret Dorsett has been a therapist for over 11 years, with behavioral and mental health experience expanding to over 23 years. He has acquired therapeutic skills and methods to assist a diverse segment of the community. Bret's practical experience includes mental health, trauma, substance use, and treating the severely mentally ill.","General mental health, Anxiety and panic disorders, Depression, General relationship challenges (family, friends, co-workers), Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Utah"
Kimberly Kingsley,"Psychotherapy, LPC","Kimberly Kingsley specializes in helping clients overcome challenges such as anxiety, depression, and relationship issues. She utilizes a blend of approaches including mindfulness-based cognitive therapy, embodied awareness, and energy psychology.","General mental health, Anxiety and panic disorders, Depression, Personal growth and self-esteem, General relationship challenges (family, friends, co-workers)","UnitedHealthcare, Oxford Health Plans, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,Arizona
Nkechi Nduka,"Medication Management, NP","Nkechi Nduka is a board-certified psychiatric-mental health nurse practitioner specializing in adolescent and adult psychiatry. Nkechi offers individualized and holistic care, treating a wide variety of mental health disorders, such as anxiety, depression, bipolar disorder, mood disorders, PTSD, and ADHD, using evidence-based treatment approaches.","General mental health, Anxiety and panic disorders, Depression, ADD/ADHD, Bipolar Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$200-260,$200,$260,"Arizona, Nevada, Texas"
Joan Dewey,"Psychotherapy, LCSW","Joan Dewey (she/her) is with 25 years of practice experience working in rural/remote integrated team settings within indigenous Alaskan Yup'ik and Athabascan cultures. She has worked with clients of all ages, and life circumstances including individuals with histories of traumatic events, grief/loss, depression, anxiety, relationship issues, addictions, and life transitions.","Anxiety and panic disorders, Depression, Addiction and substance misuse, Trauma and post-traumatic stress disorder (PTSD), Self-harm and suicidal feelings","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Alaska, Arizona"
Reena Patel,"Psychotherapy, LCSW","Reena Patel has over 15 years of experience working with communities all over the world impacted by toxic stress through a strengths-based and multicultural perspective. Reena's approach is trauma-informed and resiliency-centered, focusing on the unique needs of the South Asian community.","Anxiety and panic disorders, Depression, Women’s mental health, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Hawaii"
Bonnie Fenoff,"Psychotherapy, LPC","Bonnie Fenoff has over a decade of experience treating individuals suffering from traumatic experiences. Her top priority is meeting you where you are and working toward your goals of symptom relief, enlightenment, or insight. Bonnie values working collaboratively with her clients. She recognizes it takes a lot of strength to ask for help and aims to empower and support you.","Eating disorders and body image, General relationship challenges (family, friends, co-workers), Women’s mental health, Bipolar Disorder, Trauma and post-traumatic stress disorder (PTSD)","Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Harvard Pilgrim, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,Arizona
Jennifer McCarthy,"Medication Management, PMHNP-BC, ARNP, NP-PP, CNP","Jennifer McCarthy, DNP, APRN, PMHNP-BC, provides psychiatric medication management services through a secure telehealth platform for busy adults in numerous states. She strives to make specialized care accessible for clients and is dedicated to providing comprehensive, compassionate, and convenient mental health services.","General mental health, Anxiety and panic disorders, Depression, ADD/ADHD, Bipolar Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, United Healthcare Shared Services, See your cost estimate",No data,$140-200,$140,$200,"Alaska, Arizona, Colorado, Hawaii, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming"
Kristien Hollingsworth,"Psychotherapy, LCSW","Kristien Hollingsworth has over 18 years of experience working in the mental health field. She believes in a holistic and trauma-informed approach. She has experience working with and treating survivors of sexual abuse from ages five to seniors at Evergreen Counseling. Kristien volunteered at the Rape Crisis Center and Nathan Adelson Hospice in Las Vegas, Nevada.","Anxiety and panic disorders, Depression, Grief and loss, LGBTQIA+, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Florida, Hawaii, Nevada, New Mexico, Texas"
Wesley Luffman,"Psychotherapy, LPC","Wesley Luffman believes people want to heal and become better versions of themselves. He uses humor, challenge, and sensitivity to help clients get close to the pain and process how to become that better version. He works with adults and teens. He takes an eclectic, client-centered, solution-focused approach. He is trained in CBT and ACT and is an EMDRIA-certified therapist.","Anxiety and panic disorders, Depression, Sex and intimacy, Marriage and partnerships, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$80-140,$80,$140,"Arizona, Montana"
Yolanda Baugh,"Medication Management, NP","Yolanda Baugh is a board-certified psychiatric mental health nurse practitioner (PMHNP-BC), with a Master in Nursing Practice. She is passionate about providing quality, compassionate, and comprehensive mental health services to children, adolescents, and adults. Yolanda possesses strong clinical skills enhanced by her natural ability to build rapport with patients and families","Anxiety and panic disorders, Depression, ADD/ADHD, Autism Spectrum Disorder, Bipolar Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, Empire Blue Cross Blue Shield, including BlueCard Network access, UMR, Humana, Oscar, UHC Student Resources, Emblem Health, Fidelis, AllSavers UHC, 1199, Anthem, Meritain, Anthem Blue Cross Blue Shield, Allways, Healthfirst, Capital District Physicians’ Health Plan, Magellan, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, See your cost estimate",No data,No data,No data,No data,"Arizona, Colorado, Illinois, Iowa, Maryland, Vermont"
Benard Choi,"Medication Management, NP","Benard Choi, APRN has several years of experience in medication management, evaluations, and treatment. Benard's focus is based on providing holistic, evidence-based care centered on social, cultural, and preventive aspects of mental health. He is passionate about achieving patient outcomes resulting in improved quality of life.","Anxiety and panic disorders, Depression, ADD/ADHD, Bipolar Disorder, Obsessive-Compulsive Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Anthem Blue Cross Blue Shield, Lucet, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, UnitedHealthcare Global, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Colorado, Iowa, Maryland, New Mexico, Texas, Washington"
Dominique Coley,"Medication Management, NP","Dominique Coley has nearly a decade of mental health nursing experience in both inpatient and outpatient settings. She has been a psychiatric-mental health nurse practitioner for several years, treating both children and adults.","General mental health, Anxiety and panic disorders, Depression","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Colorado, Mississippi"
Amber Gordon,"Medication Management, NP",Amber Gordon is a board-certified psychiatric-mental health nurse practitioner who takes pride in meeting patients where they are on their worst days with an integrative approach. She advocates for therapy and lifestyle changes in addition to medication management. She takes a supportive therapy approach to empower her patients.,"General mental health, Anxiety and panic disorders, Depression, Bipolar Disorder, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$200-260,$200,$260,"Arizona, Iowa, Oregon, Tennessee"
Anita Richardson-Sasson,"Medication Management, PMHNP","Anita R-Sasson is ready to help you! She has been a registered nurse for 12+ years and a psychiatric nurse practitioner for five years and her mission is to improve your life. Her specialties include anxiety, adult ADHD, depression, and PTSD. She views psychiatry through a holistic lens, using the mind and the body to help you get to the wellness that you so deserve.","General mental health, ADD/ADHD","UnitedHealthcare, Oxford Health Plans, Aetna, UMR, Oscar, UHC Student Resources, See your cost estimate",No data,$200-260,$200,$260,"Arizona, New York"
Lola Sulaimon,"Medication Management, NP","Lola Sulaimon is a board-certified psychiatric-mental health nurse practitioner (PMHNP-BC) with 12+ years of psychiatric experience. She manages a wide range of mental health concerns. She is skilled in medication management and utilizes aspects of psychodynamics, CBT, and stabilization while building a rapport, forming individualized treatment plans, and managing care.","Anxiety and panic disorders, Depression, Bipolar Disorder, Obsessive-Compulsive Disorder, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Beacon Health Options, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Colorado, Delaware, Maryland, New York, Utah"
Toni Crawford-Jonas,"Medication Management, NP","Toni Crawford-Jonas has experience treating depression, anxiety, bipolar disorder, ADHD, substance abuse, schizophrenia, trauma, and personality disorders. Toni is a mother of three and wife committed to the mental health and promotion of all people, especially LGBTQIA+ people and family units that often go underserved.","Anxiety and panic disorders, Depression, ADD/ADHD, Bipolar Disorder, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, See your cost estimate",No data,$200-260,$200,$260,"Arizona, New Mexico"
Edewor (Ben) Osevwe,"Medication Management, NP","Edewor Ben Osevwe is your friendly PMHNP-BC! With experience helping adults aged 18-65, he's dedicated to mental wellness. Empathetic and skilled, Edewor is here to support you on your journey to a happier and healthier life.","General mental health, Anxiety and panic disorders, Depression, Bipolar Disorder, Schizophrenia and psychotic disorders","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, See your cost estimate",No data,$140-200,$140,$200,"Arizona, California, Colorado, Delaware, Minnesota, Nevada, New Hampshire, New Mexico, Oregon, Texas, Washington, Washington, D.C."
Jennifer Holmes,"Psychotherapy, LPC","Jennifer Holmes believes the biggest factor in successful therapy is based on the relationship between the therapist and the client. She uses her own life experiences to help build this relationship. She specializes in working with adolescents and adults suffering from PTSD, anxiety, depression, ADHD, and low self-esteem. She also works with families to improve relationships.","Reiki, General mental health, Anxiety and panic disorders, Depression, General relationship challenges (family, friends, co-workers), Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Indiana"
Diane Fisher,"Psychotherapy, LMHC, LPC, LCPC","Diane Fisher is a licensed therapist specializing in online therapy for adults who are feeling stuck and seeking a way to break through their mental barriers. With a wealth of experience and expertise in a variety of therapeutic techniques, Diane uses a personalized approach to help her clients achieve their goals and live fulfilling lives.","Anxiety and panic disorders, Depression, Obsessive-Compulsive Disorder, Trauma and post-traumatic stress disorder (PTSD), Self-harm and suicidal feelings","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Idaho, Indiana, Kentucky, Maryland, Michigan, Montana, New Jersey, Ohio, South Dakota, Washington, Wisconsin, Wyoming"
Esther Odaibo,"Medication Management, NP","Esther Moseka Odaibo has 15 years of experience in healthcare and patient care, working directly with individuals and families. She has experience working in both outpatient and inpatient behavioral health care. Her approach is holistic and empathetic while adopting evidence-based treatment models to manage stressors and achieve balance in daily living.","Coaching, Anxiety and panic disorders, Depression, Chronic illness, pain and sleep disorders, ADD/ADHD, Bipolar Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, Medicare, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$80-140,$80,$140,"Arizona, New Mexico"
Oluwatobi Adeleke,"Medication Management, NP","Oluwatobi Adeleke is a highly skilled and compassionate psychiatric provider with over a decade of experience. She specializes in diagnosing and treating various mental health conditions, offering personalized and evidence-based care to individuals of all ages. Oluwatobi's warm and empathetic approach creates a safe space for her patients to share their concerns.","Anxiety and panic disorders, Depression, ADD/ADHD, Learning disabilities, Schizophrenia and psychotic disorders","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, See your cost estimate",No data,$200-260,$200,$260,"Arizona, New Mexico, Texas, Vermont"
Jacob Read,"Medication Management, NP","Jacob Read is a dual-certified FNP and PMHNP who has several years of compassionate healthcare experience with a strong focus on telemedicine for the past few years. He trained at Vanderbilt University and his career journey has taken him to urgent care, primary care, and mental health services, notably within Native American reservations.","General mental health, Anxiety and panic disorders, Depression, ADD/ADHD, Bipolar Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Harvard Pilgrim, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$80-140,$80,$140,"Alaska, Arizona, Florida, Montana, New Mexico, South Dakota, Washington"
Katelyn Millinor,"Psychotherapy, LPC","Katelyn Millinor provides therapy to individuals with specialized focus in anxiety, trauma, perinatal/maternal mental health, and fertility challenges. Katelyn utilizes a holistic approach to treatment as well as incorporating evidence-based techniques.","Anxiety and panic disorders, Life transitions, Personal growth and self-esteem, Trauma and post-traumatic stress disorder (PTSD), Pregnancy, prenatal, postpartum","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, California, Florida, North Carolina"
Kelvin Brown,"Psychotherapy, LCSW",Kelvin Brown has over 10 years of mental health experience. He specializes in interpersonal relations and reality testing with diverse populations. He utilizes various evidence-based practices that are tailored to each client’s needs while meeting them where they are in their journey.,"Anxiety and panic disorders, Depression, General relationship challenges (family, friends, co-workers), Men’s mental health, Race and ethnicity","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Indiana, Mississippi, North Carolina, Pennsylvania, Tennessee"
